,Country,Error,Sample Size
4,Mexico,4.722217907986783,2450
10,India,7.4203178072559925,2034
1,US,9.170524544462474,9057
5,Brazil,9.257103969869089,2082
16,Chile,10.815658923985886,1279
17,Ukraine,14.650026384617384,1764
6,Colombia,19.89974205081358,2284
3,Australia,21.8183639206628,1351
18,Peru,24.99197428687197,1735
2,Japan,27.646136363756668,3299
14,Sweden,30.927287448693235,1344
8,Canada,30.99302097330311,1988
9,Germany,31.611560407420793,1467
13,Russia,32.834075260544715,5268
7,France,36.958124210437575,1550
15,Spain,41.387139134284304,1623
11,Italy,42.10655465517666,1784
0,Mainland China,46.09679624903047,5965
12,UK,49.092441023013144,1700
